From;lastverlauf
02.10.2025 10:20;13,21750737
02.10.2025 10:21;13,21750737
02.10.2025 10:22;13,21750737
02.10.2025 10:23;13,21750737
02.10.2025 10:24;13,21750737
02.10.2025 10:25;13,21750737
02.10.2025 10:26;13,21750737
02.10.2025 10:27;13,21750737
02.10.2025 10:28;13,21750737
02.10.2025 10:29;13,21750737
02.10.2025 10:30;53,32852165
02.10.2025 10:31;53,32852165
02.10.2025 10:32;53,32852165
02.10.2025 10:33;53,32852165
02.10.2025 10:34;53,32852165
02.10.2025 10:35;53,32852165
02.10.2025 10:36;53,32852165
02.10.2025 10:37;53,32852165
02.10.2025 10:38;53,32852165
02.10.2025 10:39;53,32852165
02.10.2025 10:40;42,20237497
02.10.2025 10:41;42,20237497
02.10.2025 10:42;42,20237497
02.10.2025 10:43;42,20237497
02.10.2025 10:44;42,20237497
02.10.2025 10:45;42,20237497
02.10.2025 10:46;42,20237497
02.10.2025 10:47;42,20237497
02.10.2025 10:48;42,20237497
02.10.2025 10:49;42,20237497
02.10.2025 10:50;44,18037828
02.10.2025 10:51;44,18037828
02.10.2025 10:52;44,18037828
02.10.2025 10:53;44,18037828
02.10.2025 10:54;44,18037828
02.10.2025 10:55;44,18037828
02.10.2025 10:56;44,18037828
02.10.2025 10:57;44,18037828
02.10.2025 10:58;44,18037828
02.10.2025 10:59;44,18037828
02.10.2025 11:00;56,2152187
02.10.2025 11:01;56,2152187
02.10.2025 11:02;56,2152187
02.10.2025 11:03;56,2152187
02.10.2025 11:04;56,2152187
02.10.2025 11:05;56,2152187
02.10.2025 11:06;56,2152187
02.10.2025 11:07;56,2152187
02.10.2025 11:08;56,2152187
02.10.2025 11:09;56,2152187
02.10.2025 11:10;57,23070225
02.10.2025 11:11;57,23070225
02.10.2025 11:12;57,23070225
02.10.2025 11:13;57,23070225
02.10.2025 11:14;57,23070225
02.10.2025 11:15;57,23070225
02.10.2025 11:16;57,23070225
02.10.2025 11:17;57,23070225
02.10.2025 11:18;57,23070225
02.10.2025 11:19;57,23070225
02.10.2025 11:20;58,0908722
02.10.2025 11:21;58,0908722
02.10.2025 11:22;58,0908722
02.10.2025 11:23;58,0908722
02.10.2025 11:24;58,0908722
02.10.2025 11:25;58,0908722
02.10.2025 11:26;58,0908722
02.10.2025 11:27;58,0908722
02.10.2025 11:28;58,0908722
02.10.2025 11:29;58,0908722
02.10.2025 11:30;53,56838035
02.10.2025 11:31;53,56838035
02.10.2025 11:32;53,56838035
02.10.2025 11:33;53,56838035
02.10.2025 11:34;53,56838035
02.10.2025 11:35;53,56838035
02.10.2025 11:36;53,56838035
02.10.2025 11:37;53,56838035
02.10.2025 11:38;53,56838035
02.10.2025 11:39;53,56838035
02.10.2025 11:40;59,83175365
02.10.2025 11:41;59,83175365
02.10.2025 11:42;59,83175365
02.10.2025 11:43;59,83175365
02.10.2025 11:44;59,83175365
02.10.2025 11:45;59,83175365
02.10.2025 11:46;59,83175365
02.10.2025 11:47;59,83175365
02.10.2025 11:48;59,83175365
02.10.2025 11:49;59,83175365
02.10.2025 11:50;61,05247905
02.10.2025 11:51;61,05247905
02.10.2025 11:52;61,05247905
02.10.2025 11:53;61,05247905
02.10.2025 11:54;61,05247905
02.10.2025 11:55;61,05247905
02.10.2025 11:56;61,05247905
02.10.2025 11:57;61,05247905
02.10.2025 11:58;61,05247905
02.10.2025 11:59;61,05247905
02.10.2025 12:00;29,75967846
02.10.2025 12:01;29,75967846
02.10.2025 12:02;29,75967846
02.10.2025 12:03;29,75967846
02.10.2025 12:04;29,75967846
02.10.2025 12:05;29,75967846
02.10.2025 12:06;29,75967846
02.10.2025 12:07;29,75967846
02.10.2025 12:08;29,75967846
02.10.2025 12:09;29,75967846
02.10.2025 12:10;18,00226034
02.10.2025 12:11;18,00226034
02.10.2025 12:12;18,00226034
02.10.2025 12:13;18,00226034
02.10.2025 12:14;18,00226034
02.10.2025 12:15;18,00226034
02.10.2025 12:16;18,00226034
02.10.2025 12:17;18,00226034
02.10.2025 12:18;18,00226034
02.10.2025 12:19;18,00226034
02.10.2025 12:20;17,59614865
02.10.2025 12:21;17,59614865
02.10.2025 12:22;17,59614865
02.10.2025 12:23;17,59614865
02.10.2025 12:24;17,59614865
02.10.2025 12:25;17,59614865
02.10.2025 12:26;17,59614865
02.10.2025 12:27;17,59614865
02.10.2025 12:28;17,59614865
02.10.2025 12:29;17,59614865
02.10.2025 12:30;16,85896607
02.10.2025 12:31;16,85896607
02.10.2025 12:32;16,85896607
02.10.2025 12:33;16,85896607
02.10.2025 12:34;16,85896607
02.10.2025 12:35;16,85896607
02.10.2025 12:36;16,85896607
02.10.2025 12:37;16,85896607
02.10.2025 12:38;16,85896607
02.10.2025 12:39;16,85896607
02.10.2025 12:40;17,68740025
02.10.2025 12:41;17,68740025
02.10.2025 12:42;17,68740025
02.10.2025 12:43;17,68740025
02.10.2025 12:44;17,68740025
02.10.2025 12:45;17,68740025
02.10.2025 12:46;17,68740025
02.10.2025 12:47;17,68740025
02.10.2025 12:48;17,68740025
02.10.2025 12:49;17,68740025
02.10.2025 12:50;16,92611733
02.10.2025 12:51;16,92611733
02.10.2025 12:52;16,92611733
02.10.2025 12:53;16,92611733
02.10.2025 12:54;16,92611733
02.10.2025 12:55;16,92611733
02.10.2025 12:56;16,92611733
02.10.2025 12:57;16,92611733
02.10.2025 12:58;16,92611733
02.10.2025 12:59;16,92611733
02.10.2025 13:00;16,91375866
02.10.2025 13:01;16,91375866
02.10.2025 13:02;16,91375866
02.10.2025 13:03;16,91375866
02.10.2025 13:04;16,91375866
02.10.2025 13:05;16,91375866
02.10.2025 13:06;16,91375866
02.10.2025 13:07;16,91375866
02.10.2025 13:08;16,91375866
02.10.2025 13:09;16,91375866
02.10.2025 13:10;16,54418307
02.10.2025 13:11;16,54418307
02.10.2025 13:12;16,54418307
02.10.2025 13:13;16,54418307
02.10.2025 13:14;16,54418307
02.10.2025 13:15;16,54418307
02.10.2025 13:16;16,54418307
02.10.2025 13:17;16,54418307
02.10.2025 13:18;16,54418307
02.10.2025 13:19;16,54418307
02.10.2025 13:20;16,19178601
02.10.2025 13:21;16,19178601
02.10.2025 13:22;16,19178601
02.10.2025 13:23;16,19178601
02.10.2025 13:24;16,19178601
02.10.2025 13:25;16,19178601
02.10.2025 13:26;16,19178601
02.10.2025 13:27;16,19178601
02.10.2025 13:28;16,19178601
02.10.2025 13:29;16,19178601
02.10.2025 13:30;15,76216377
02.10.2025 13:31;15,76216377
02.10.2025 13:32;15,76216377
02.10.2025 13:33;15,76216377
02.10.2025 13:34;15,76216377
02.10.2025 13:35;15,76216377
02.10.2025 13:36;15,76216377
02.10.2025 13:37;15,76216377
02.10.2025 13:38;15,76216377
02.10.2025 13:39;15,76216377
02.10.2025 13:40;15,62039937
02.10.2025 13:41;15,62039937
02.10.2025 13:42;15,62039937
02.10.2025 13:43;15,62039937
02.10.2025 13:44;15,62039937
02.10.2025 13:45;15,62039937
02.10.2025 13:46;15,62039937
02.10.2025 13:47;15,62039937
02.10.2025 13:48;15,62039937
02.10.2025 13:49;15,62039937
02.10.2025 13:50;17,51453723
02.10.2025 13:51;17,51453723
02.10.2025 13:52;17,51453723
02.10.2025 13:53;17,51453723
02.10.2025 13:54;17,51453723
02.10.2025 13:55;17,51453723
02.10.2025 13:56;17,51453723
02.10.2025 13:57;17,51453723
02.10.2025 13:58;17,51453723
02.10.2025 13:59;17,51453723
02.10.2025 14:00;24,90493565
02.10.2025 14:01;24,90493565
02.10.2025 14:02;24,90493565
02.10.2025 14:03;24,90493565
02.10.2025 14:04;24,90493565
02.10.2025 14:05;24,90493565
02.10.2025 14:06;24,90493565
02.10.2025 14:07;24,90493565
02.10.2025 14:08;24,90493565
02.10.2025 14:09;24,90493565
02.10.2025 14:10;43,04394742
02.10.2025 14:11;43,04394742
02.10.2025 14:12;43,04394742
02.10.2025 14:13;43,04394742
02.10.2025 14:14;43,04394742
02.10.2025 14:15;43,04394742
02.10.2025 14:16;43,04394742
02.10.2025 14:17;43,04394742
02.10.2025 14:18;43,04394742
02.10.2025 14:19;43,04394742
02.10.2025 14:20;23,7758646
02.10.2025 14:21;23,7758646
02.10.2025 14:22;23,7758646
02.10.2025 14:23;23,7758646
02.10.2025 14:24;23,7758646
02.10.2025 14:25;23,7758646
02.10.2025 14:26;23,7758646
02.10.2025 14:27;23,7758646
02.10.2025 14:28;23,7758646
02.10.2025 14:29;23,7758646
02.10.2025 14:30;14,3444849
02.10.2025 14:31;14,3444849
02.10.2025 14:32;14,3444849
02.10.2025 14:33;14,3444849
02.10.2025 14:34;14,3444849
02.10.2025 14:35;14,3444849
02.10.2025 14:36;14,3444849
02.10.2025 14:37;14,3444849
02.10.2025 14:38;14,3444849
02.10.2025 14:39;14,3444849
02.10.2025 14:40;13,00313768
02.10.2025 14:41;13,00313768
02.10.2025 14:42;13,00313768
02.10.2025 14:43;13,00313768
02.10.2025 14:44;13,00313768
02.10.2025 14:45;13,00313768
02.10.2025 14:46;13,00313768
02.10.2025 14:47;13,00313768
02.10.2025 14:48;13,00313768
02.10.2025 14:49;13,00313768
02.10.2025 14:50;1,44299032
02.10.2025 14:51;1,44299032
02.10.2025 14:52;1,44299032
02.10.2025 14:53;1,44299032
02.10.2025 14:54;1,44299032
02.10.2025 14:55;1,44299032
02.10.2025 14:56;1,44299032
02.10.2025 14:57;1,44299032
02.10.2025 14:58;1,44299032
02.10.2025 14:59;1,44299032
02.10.2025 15:00;1,44299032
02.10.2025 15:01;1,44299032
02.10.2025 15:02;1,44299032
02.10.2025 15:03;1,44299032
02.10.2025 15:04;1,44299032
02.10.2025 15:05;1,44299032
02.10.2025 15:06;1,44299032
02.10.2025 15:07;1,44299032
02.10.2025 15:08;1,44299032
02.10.2025 15:09;1,44299032
02.10.2025 15:10;1,44299032
02.10.2025 15:11;1,44299032
02.10.2025 15:12;1,44299032
02.10.2025 15:13;1,44299032
02.10.2025 15:14;1,44299032
02.10.2025 15:15;1,44299032
02.10.2025 15:16;1,44299032
02.10.2025 15:17;1,44299032
02.10.2025 15:18;1,44299032
02.10.2025 15:19;1,44299032
